ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Reference_Label,label,Movement_Gloss
2-8-3-2-268-17-1,longgu,… mara la maʔa vu masuʔu,…	m-ara	la	maʔa	vu	masuʔu,…	and-S:3PL	go	PERFECTIVE	R	bush,… and they went into the bush,,,,,,,
2-8-3-2-268-17-2,longgu,amalu ho la vu tana malabai ni umwania,amalu	ho	la	vu	ta-na	malaba-i	ni	umwani-a,D:1EP	IRR	go	R	PREP-P:3SG	garden-SG	in.order.to	weed-O:3SG,we will go into the garden to weed it,,,,,,,
2-8-3-2-268-18-1,sinaugoro,Sima ɣaniɣani.,Si=ma	ɣani-ɣani.,S:1IPL=near.me	ITR-eat,Let’s eat here.,,,,Tauberschmidt1999[31–32],Tauberschmidt 1999:31–32,,
2-8-3-4-289-19-1,lihir,i la liom,i	la	liom,PREP	inside	house,in the house,,,,,,,
2-8-3-4-292-20-1,hoava,ria pu tata mae pa tani sa gato,ria	pu	tata	mae	pa	tani	sa	gato,D:3PL	REL	close	come	R	PREP:3SG	ART:SG	tree,they who come close to the tree,,,,,,,
3-2-7-1-48-1-1,poc,*a polo ni niuR,*a	polo	ni	niuR,ART	juice	of	coconut,coconut water,,,,Lynchetal2002[77],Lynch et al. 2002: 77,,
3-2-7-1-48-2-1,poc,*a qaqe qi boRok,*a	qaqe	qi	boRok,ART	leg	of	pig,a pig's leg,,,,Lynchetal2002[76],Lynch et al. 2002: 76,,
3-2-7-1-49-3-1,poc,*itolu puaq qi pudi,*i-tolu	puaq	qi	pudi,3sG-three	fruit	of	banana,three bananas,,,= '(there are) three fruit of banana',Lynchetal2002[74],Lynch et al. 2002: 74,a.,
3-2-7-1-49-3-2,poc,*itolu puqun ni pudi,*i-tolu	puqun	ni	pudi,3sG-three	trunk	of	banana,three banana trees,,,= '(there are) three trees of banana',Lynchetal2002[74],Lynch et al. 2002: 74,b.,
5-1-3-5-22-1-1,boumaa,e gagi a dovu,e	gagi	a	dovu,S:3S	crush	ART	sugarcane,The sugarcane is being crushed.,,,literally ‘The sugarcane crushes’,Dixon1988[204],Dixon 1988:204,,
5-1-3-5-22-2-1,boumaa,au gagia a dovu.,au	gagi-a	a	dovu.,S:1S	crush-O:3S	ART	sugarcane,I’m crushing the sugarcane.,,,,,,,
5-1-3-5-22-3-1,boumaa,e loaloa a ʔolii ya,e	loaloa	a	ʔolii	ya,S:3S	be.black	ART	dog	this,This dog is black.,,,,,,,
5-1-3-5-23-4-1,boumaa,au rabe,au	rabe,S:1S	kick,I’m kicking.,,,,Dixon1988,Dixon 1988,a.,
5-1-3-5-23-4-2,boumaa,au rabeta a polo,au	rabe-t-a	a	polo,s:1s	kick-TR-O:3S	ART	ball,I’m kicking the ball.,,,,Dixon1988,Dixon 1988,b.,
5-1-3-5-25-5-1,boumaa,au sā vuli (ina fika),au	sā	vuli	(i-na	fika),S:1S	ASP	learn	PREP-ART	arithmetic,I am learning (about arithmetic).,,,,,,a.,
5-1-3-5-25-5-2,boumaa,au sā vuliŋa a fika,au	sā	vuli-ŋa	a	fika,S:1S	ASP	learn-TR:O:3S	ART	arithmetic,I am learning arithmetic.,,,,,,b.,
5-1-3-5-25-5-3,boumaa,e sā vaʔavuliŋi au o Jone (ina fika),e	sā	vaʔa-vuli-ŋi	au	o	Jone	(i-na	fika),s:3s	ASP	CAUS-learn-TR	O:1S	ART	John	PREP-ART	arithmetic,John is teaching me (arithmetic).,,,,Dixon1988[50],Dixon 1988:50,c.,
5-1-3-5-25-5-4,boumaa,e ʔau yane a ivola,e	ʔau	yane	a	ivola,s:1s	take	thither	ART	letter,The letter is being taken/sent.,,,,,,d.,
5-1-3-5-25-5-5,boumaa,e ʔauta yane a ivola a ðauravou,e	ʔaut-a	yane	a	ivola	a	ðauravou,s:1s	take-o:3s	thither	ART	letter	ART	youth,The youth is taking the letter.,,,,,,e.,
5-1-3-5-25-5-6,boumaa,e vaʔaʔauta yane a ivola a marama,e	vaʔa-ʔau-ta	yane	a	ivola	a	marama,s:1s	CAUS-take-O:3S	thither	ART	letter	ART	woman,The woman is posting (= causing to be sent) the letter.,,,,Dixon1988[185],Dixon 1988:185,f.,
5-6-2-None-368-6-1,seimat,Tok mom hahitake tehu iŋ.,Tok	mom	hahitak-e	tehu	iŋ.,CLF	chicken	under-CSTR	CLF	house,The chicken [is] under the house.,,,,WoznaandWilson2005[66],Wozna & Wilson 2005:66,,
5-6-2-None-368-7-1,manam,"Malipi dieno, masa ndumaiʔo.","Malipi	di-eno,	masa	n-duma-iʔo.",work	S:3P-lie	INDEF.IRR	s:1S.IRR-help-O:2S,"If there is work, I’ll help you.",,,,Lichtenberk2002[277],Lichtenberk 2002:277,,
5-6-2-None-368-8-1,manam,More ilogulo ieno.,More	ilo-gu-lo	i-eno.,sickness	inner.belly-P:1S-in	s:3S.REAL-lie,I’m sick in the belly.,,,Lit. ‘The sickness is in my belly.’,Lichtenberk2002[277],Lichtenberk 2002:277,,
5-6-2-None-368-9-1,manam,Barasi rua ŋau taunlo usoaʔi.,Barasi	rua	ŋau	taun-lo	u-soaʔi.,year	two	I	town-in	s:1S.REAL-sit,Two years I was/stayed/lived in the town.,,,,Lichtenberk2002[275],Lichtenberk 2002:275,,
5-6-2-None-368-10-1,manam,Kadiaraŋ maka bale nenalo ieno be itantaŋ.,Kadiaraŋ	maka	bale	ne-na-lo	i-eno	be	i-tan~taŋ.,K.	here	men’s.house	CLF-P:3S-in	S:3S.REAL-lie	and	s:3S.REAL-REDUP~cry,Kadiarang is lying in his house (and is) crying.,,,,Lichtenberk2002[274],Lichtenberk 2002:274,,
5-6-3-None-385-11-1,hoava,Hagala vura mae sa manue.,Hagala	vura	mae	sa	manue.,run	go.out	come	ART:S	possum,The possum came running out.,,,,Davis2003[155],Davis 2003:155,,MANNER	PATH	DEIXIS	…	…
5-6-3-None-385-12-1,hoava,Keba saɣelia sa koburu sa ŋohara.,Keba	saɣeli-a	sa	koburu	sa	ŋohara.,climb	go.up.TR-O:3S	ART:S	child	ART:S	coconut,The child climbed up the coconut tree.,,,,Davis2003[155],Davis 2003:155,,MANNER	PATH	…	…	…	…
5-6-3-None-385-13-1,tuam,Waax tsiei ilooɣ ipot izi nuɣ tawe.,Waax	tsiei	i-looɣ	i-pot	i-zi	nuɣ	tawe.,canoe	our.EXC	s:3S-enter	s:3S-float	s:3S-descend	place	that.over.there,Our canoe/boat went coastwards and floated to that place there.,,,,Bugenhagen2007,Bugenhagen 2007,,…	…	PATH	MANNER	PATH	…	…
5-6-4-1-409-14-1,takia,umul palu wa,u-mul	∅-palu	=wa,2SG-return	2SG-come	=PRF,You’ve come back.,,,,,,,PATH	DEIXIS	…
5-6-4-4-417-15-1,ramoaaina,i wan pat,i=	wan	pat,3SG=	go	arrive,He came.,,,,FritzellandDaviesnd,Fritzell & Davies n.d.,,…	MANNER	DEIXIS
5-6-6-1-425-16-1,vitu,Na tavine hanitu e pelea na tureturea na kana kolopi mamaha.,Na	tavine	hanitu	e	pele-a	na	tureturea	na	ka-na	kolopi	mamaha.,ART	woman	spirit	RLS:3	take-3SG	ART	stamper	PREP	PCL-3SG	basket	chew.betelnut,The spirit woman took a stamper from her betelnut basket.,,,129,,,,
5-6-6-1-425-17-1,vitu,Ia pelea vano.,Ia	pele-a	vano.,He	take-3SG	go,He took it away.,,,,BergandBachet2006[180],Berg & Bachet 2006:180,,…	MANNER	DEIXIS
5-6-6-1-425-18-1,vitu,Pelea haine mai!,Pele-a	haine	mai!,take-3SG	iron.spear	come,Bring the spear here!,,,,BergandBachet2006[181],Berg & Bachet 2006:181,,MANNER	…	DEIXIS
5-6-6-3-448-19-1,mangap,Zin tiur isu tōno,Zin	ti-ur	i-su	tōno,they	3PL-put	3SG-go.down	ground,They put it on the ground.,,,,Bugenhagen1995[166],Bugenhagen 1995:166,,…	MANNER	PATH	…
5-6-6-3-448-20-1,kusaghe,Lohe laenia pa beha,Lohe	lae-ni-a	pa	beha,put	go-TR-3SG	PREP	basket,Put it in the basket.,,,,Davis2003[166],Davis 2003:166,,MANNER	DEIXIS	…	…
5-6-6-3-449-21-1,ambae,…damo tau na loko mo hivo,…da-mo	tau	na	loko	mo	hivo,1INC-RLS	put	ACC	pudding	RLS	go.down,We put the pudding down.,,,,Hyslop2001[302],Hyslop 2001:302,,…	MANNER	…	…	…	PATH
5-10-3-None-543-22-1,mangap,Nio aŋso ina aᵐbai som,Nio	aŋ-so	ina	aᵐbai	som,I	I-say	that.DEM	good	not,I say/think that is not good,,,,BugenhagenandBugenhagen2007b,Bugenhagen & Bugenhagen 2007b,,
5-10-8-None-560-23-1,nakanai,lagabutatala ilua,la-gabutatala	ilua,ART-thoughts	two,Thoughts are two.,,,,,,,
5-10-8-None-560-24-1,toabaita,manataku eruarua,manata-ku	e=ruarua,mind-my	it=two,My mind is two.,,,,,,,
5-10-8-None-560-24-2,toabaita,"nau kumanataruarua,","nau	ku=manata-ruarua,",I	I=mind-two,I (am) two minds.,,,,,,,
5-10-8-None-560-25-1,wayan,Sā leŋaleŋārau,Sā	leŋaleŋā-rau,s/he	thinking-entangled,S/he (has) entangled thoughts.,,,,,,,
5-11-5-None-595-26-1,mangap,Nio leleŋ be aŋla pa ᵐbeŋ,Nio	lele-ŋ	be	aŋ-la	pa	ᵐbeŋ,I	insides-my	NF	I-go	at	night,I wanted to go at night.,,,,,,,
5-11-5-None-595-27-1,kalokalo,nuanuagu yanaegimʷaneyeya,nuanua-gu	ya-na-egimʷaneye-ya,want-my	I-will-sell-it,I wanted to sell it.,,,,,,,
5-11-5-None-595-28-1,lewo,sinelani sape Palua va e wa,sine-la-ni	∅-sape	Palua	∅-va	e	wa,guts-their-TR	it-say	Palua	he-iRREALIS.go	to	ship,They want Palua to go out to the ship.,,,,,,,
5-11-5-None-595-29-1,bariai,Tikeo pagid taine ngan tila dadangai.,Ti-keo	pa=gid	taine	ngan	ti-la	dadanga-i.,they-say	to=them	female	to	they-go	garden-at,They tell the women to go to the garden.,,,,,,,
5-11-5-None-595-30-1,bariai,Nakeo ga sabale gaisala eao Ønam.,Na-keo	ga	sabale	gaisala	eao	Ø-nam.,I-say	that	tomorrow	morning	thou	thou-come,I want you to come tomorrow morning.,,,,,,,
6-2-4-1-118-1-1,tae,anakku muane,anak-ku	muane,child-my	male,my male child = my son,,,,vanderVeen1940[17],van der Veen 1940: 17,,
6-2-4-1-118-1-2,tae,anakmuanena,anakmuane-na,male.cross.sibling-her,her male o.s. sibling = her brother,,,,vanderVeen1940[17],van der Veen 1940: 17,,
6-12-1-2-372-2-1,sursurunga,mutwən dan ə Uiam di lu parai [ŋo a lu arpukus],mutwən	dan	ə	Uiam	di	lu	parai	[ŋo	a	lu	arpukus],river.mouth	river	ART	U.	S:3P	HAB	say	C	S:3S	HAB	dangerous,"The mouth of the Uiam river, they say that it is dangerous….",,,,Samsonetal2018[105],Samson et al. 2018:105,,
6-12-1-2-372-3-1,sursurunga,kalilik di gatna [ŋo dək lu kas ioh mə]…,kalilik	di	gatna	[ŋo	də-k	lu	kas	ioh	mə]…,"guys	S:3P	ask	C	S:3P.IRR-SEQ	HAB	dig,up	earth.oven	now","The guys asked if they could open the earth oven now, …",,,,Samsonetal2018[96],Samson et al. 2018:96,,
6-12-1-2-372-4-1,sursurunga,"Mə pəkənbuŋ iau gəlta di [ŋo dənih a loŋoi ə kalik er ək taŋ,…]","Mə	pəkənbuŋ	iau	gəlta	di	[ŋo	dənih	a	loŋoi	ə	kalik	er	ə-k	taŋ,…]",CJ	then	S:1S	ask	O:3S	C	what	S:3S	do	spec	child	dem	S:3S-SEQ	cry,"And then I asked them what that child had done so that he cried, …",,,,Samsonetal2018[203],Samson et al. 2018:203,,
6-12-1-2-372-5-1,sursurunga,"əi tata a dosi iau suri [ŋo ina sari lamas munaŋ,.…]","əi	tata	a	dos-i	iau	suri	[ŋo	ina	sari	lamas	munaŋ,.…]",D:3S	dad	S:3S	command-TR	O:1S	PURP	C	S:1S.IRR	climb	coconut.tree	that.below,Dad told me to climb that coconut down there …,,,,Samsonetal2018[715],Samson et al. 2018:715,,
6-12-1-2-372-6-1,sursurunga,… tan kələmul di sorməŋət mai muswan [ŋo da tur talum suri loŋoi ə rumən aratintin kən elementiri],…	tan	kələmul	di	sorməŋət	mai	muswan	[ŋo	da	tur	talum	suri	loŋoi	ə	rumə-n	aratintin	kə-n	elementiri],…	PL	person	S:3P	assent	with	faithfulness	C	S:3P.IRR	stand	together	PURP	build	ART	house-P:3S	teaching	PCL-P:3S	elementary,… the people undertook faithfully to stand together to construct an elementary school building.,,,,Samsonetal2018[483],Samson et al. 2018:483,,
6-12-1-2-373-7-1,wayan,a nei veðei au o Taina [me gu dau vakatekei Adi],a	nei	veðe-i	au	o	Taina	[me	gu	dau	vakateke-i	Adi],S:3S	HAB	tell-TR	O:1S	ART	T.	C	S:1S	HAB	spoil-TR	Adi,Taina used to tell me that I always spoiled Adi.,,,,PawleyandSayaba2022,Pawley & Sayaba 2022,,
6-12-1-2-373-8-1,wayan,gu sā veðē [me vakarau laka],gu	sā	veðē	[me	vakarau	laka],S:1S	PERFECTIVE	tell.O:3S	C	prepare	go,I told her to get ready to go.,,,,PawleyandSayaba2022,Pawley & Sayaba 2022,,
6-12-1-2-373-9-1,teop,na tariko mae Saritavi [enamre nao mohina].,na	tariko	ma=e	Saritavi	[enam=re	nao	mohina].,R	ask	DIR=ART	S.	D:1EP=IMPERATIVE	go	garden,Saritavi asked us to go to the garden.,,,,Schwartzetal2007[227],Schwartz et al. 2007: 227,,
6-12-1-2-374-10-1,teop,e iā na sue ki bona mōn [tea mamata bono matavu],e	iā	na	sue	ki	bona	mōn	[tea	mamata	bono	matavu],ART	mother	R	tell	PREP	ACC	female	C	open	ACC	door,Mother told the girl to open the door.,,,"Mosel & Thiesen 2007, §10.1.4",,,,
6-12-1-3-376-11-1,mangap,zin mōri tizzo len sua,zin	mōri	ti-zzo	le-n	sua,PL	girl	S:3P-REDUP.say	PCL-P:3P	talk,The girls were having a chat.,,,"more literally, ‘The girls were saying their talk.’",,,,
6-12-1-3-376-12-1,mangap,kʷoŋ ibelek pa mōri tana ….,kʷo-ŋ	i-belek	pa	mōri	tana	….,mouth-P:1S	S:3S-mock	PREP	girl	DEM	…,I mocked that girl…,,,,,,,
6-12-2-None-378-13-1,paamese,avit [eimas kan keilu],a-vit	[eimas	kan	keilu],S:3P-say	sorcery	eat	D:3D,They said that the two of them were killed by sorcery.,,,more literally: ‘They said that sorcery ate the two of them.’,Crowley1992[20],Crowley 1992:20,,
6-12-2-None-378-14-1,paamese,avīsinau avit [vakili onak mat],a-vīsi-nau	a-vit	[vakili	ona-k	mat],S:3P-ask-O:1S	S:3P-say	canoe	PCL-P:1S	die,They asked me if my canoe had capsized.,,,,Crowley1982[74],Crowley 1982:74,,
6-12-2-None-378-15-1,nelemwa,i xabʷe [io kio i uya],i	xabʷe	[io	kio	i	uya],S:3S	say	FUTURE	NEGATIVE	S:3S	arrive,He said he would not come.,,,,Bril2002[457],Bril 2002:457,,
6-12-2-None-378-16-1,nelemwa,na fāɣēn [xabʷe buca da hōli],na	fāɣēn	[xabʷe	buca	da	hōli],S:1S	ask	C	noise	what	that,I asked what that noise was.,,,,Bril2002[460],Bril 2002:460,,
6-12-2-None-379-17-1,nelemwa,ix u xabʷe ʃi pʷayiliy [xabʷe io ix u ã],ix	u	xabʷe	ʃi	pʷayiliy	[xabʷe	io	ix	u	ã],S:3S	PERFECTIVE	say	PREP	P.	C	FUT	S:3S	PERFECTIVE	depart,He said to Pwaili that he would leave.,,,,Bril2002[457],Bril 2002:457,,
6-12-6-None-399-18-1,mangap,nio aŋso ina aᵐbai som,nio	aŋ-so	ina	aᵐbai	som,I	1SG-say	that.DEM	good	not,I say/think that is not good,,,,BugenhagenandBugenhagen2007,Bugenhagen & Bugenhagen 2007,,
6-12-6-None-399-19-1,aiwoo,kä demo kä pæko,kä	demo	kä	pæko,say.ITR	hermit.crab	say	okay,"The hermit crab said, “Okay”.",,,,Nss2016[48–49],Næss 2016:48–49,,
6-12-6-None-399-20-1,aiwoo,kɒmʷæ idoo,kɒ-mʷæ	idoo,say.TR-A:2A	what,What do you think?,,,,Nss2016[48–49],Næss 2016:48–49,,
6-12-6-None-399-21-1,aiwoo,kɒmʷæ mikuwæ ñɒ?,kɒ-mʷæ	mi-kuwæ	ñɒ?,say-A:2A	S:2A-go	where,Where do you want to go?,,,,Nss2016[49],Næss 2016:49,,
6-12-6-None-400-22-1,kele,yu upe kule,yu	u-pe	k-u-le,D:1S	S:1S-say	IRR-S:1S-go,I wish(ed)/intend(ed) to go.,,,,Ross2002f[139],Ross 2002f:139,,
6-12-6-None-400-23-1,yabem,ae gabe yaᵑgom,ae	ga-be	ya-ᵑgom,D:1S	S:1S-say	S:1S-IRR:do,I want to do it.,,,,Streicher1982[35],Streicher 1982:35,,
6-12-6-None-400-24-1,lamen,nevere neva,ne-vere	ne-va,S:1S-IRR:say	S:1S-IRR:go,I want to go.,,,,Early2002b[680],Early 2002b:680,,
6-12-6-None-401-25-1,takia,ilog ibol…,ilo-g	i-bol…,insides-P:1S	S:3S-say,I want…,,,,,,,
6-12-6-None-401-26-1,sursurunga,ŋoi i bəl,ŋo-i	i	bəl,say-TR	TOPIC	stomach,I want…,,,,Samsonetal2018[474],Samson et al. 2018:474,,
6-13-6-None-421-27-1,hoava,Koni buma sa kuma pula valea goe sa dae buma.,Koni	buma	sa	kuma	pula	vale-a	goe	sa	dae	buma.,FUT	GREEN	ART:SG	water	if	give-3SG	2SG	ART:SG	dye	green,The water will be green if you put in the green dye.,,,,,,,
6-13-6-None-421-28-1,manam,natu iruʔuiana,natu	i-ruʔu-i-an-a,child	3SG-wash-3SG-BEN-1SG,He washed the child for me.,,,,Lichtenberk1983[69],Lichtenberk 1983: 69,,
6-14-1-1-428-29-1,woleaian,ʐʉwemar yaʐemar,ʐʉwe-mar	yaʐemar,2-CLF:animate	person,2 people,,,lit. ‘2 animates of person’,"Sohn1975[59, 206, 62]","Sohn 1975:59, 206, 62",a.,
6-14-1-1-428-29-2,woleaian,fāfaʂ wa,fā-faʂ	wa,4-CLF:long.object	canoe,four canoes,,,lit. ‘4 long objects of canoe’,"Sohn1975[59, 206, 62]","Sohn 1975:59, 206, 62",b.,
6-14-1-1-428-29-3,woleaian,ʐʉwefaʉ faʉ,ʐʉwe-faʉ	faʉ,2-CLF:round.object	stone,two stones,,,lit. ‘2 round objects of stone’,"Sohn1975[59, 206, 62]","Sohn 1975:59, 206, 62",c.,
6-14-1-1-429-30-1,nelemwa,āɣīk ʃãlaga,ā-ɣīk	ʃãlaga,CLF:animate-one	crab,one crab,,,living,Bril2014[181],Bril 2014:181,a.,
6-14-1-1-429-30-2,nelemwa,pʷaɣīk ʃãlaga,pʷa-ɣīk	ʃãlaga,CLF:default.inanimate-one	crab,one crab,,,"dead, sold at market",Bril2014[181],Bril 2014:181,b.,
6-14-1-1-429-31-1,woleaian,seuw texax,se-uw	texax,one-CLF	cup,one cup,,,,Sohn1975[61],Sohn 1975:61,,
6-14-1-1-429-32-1,woleaian,warigumʷ ʂar,wari-gumʷ	ʂar,8-CLF:mouthful	water.,8 mouthfuls of water,,,,Sohn1975[202],Sohn 1975:202,a.,
6-14-1-1-429-32-2,woleaian,seʂimʷ xaroxar,se-ʂimʷ	xaroxar,1-CLF:bundle	sennit.,one bundle of sennit,,,,Sohn1975[60],Sohn 1975:60,b.,
6-14-1-1-429-33-1,woleaian,seix fʷuk,se-ix	fʷuk,one-CLF:10	book,ten books,,,lit. ‘one ten of book’,Sohn1975[202],Sohn 1975:202,,
6-14-1-1-429-34-1,woleaian,seyaf rʉ,se-yaf	rʉ,one-CLF:bundle.10.round	coconut,a bundle of 10 (round) coconuts,,,,Sohn1975[170],Sohn 1975:170,,
6-14-1-1-430-35-1,chuukese,wɨnɨttīt mǣy,wɨnɨ-ttīt	mǣy,3-CLF:string.10.breadfruit	breadfruit,3 strings of 10 breadfruit,,,,GoodenoughandSugita1980[354],Goodenough & Sugita 1980:354,,
6-14-1-1-430-36-1,woleaian,seʐan ʐan,se-ʐan	ʐan,one-CLF:day	day,one day,,,,Sohn1975[61],Sohn 1975:61,,
6-14-1-1-430-37-1,ponapean,pān silipak,pān	sili-pak,time	3-CLF:TIME,three times,,,,Rehg1981[128],Rehg 1981:128,,
6-14-1-2-431-38-1,woleaian,saŋeʐai fʷuk,sa-ŋeʐai	fʷuk,"one-CLF:100,000,000	book",a hundred million books,,,lit. ‘one hundred.million of book’,,,,
6-14-1-2-437-39-1,lengo,sakai na paga ni iɣa,sakai	na	paga	ni	iɣa,one	ART	ten.animals	ASSOCIATIVE	fish,one “ten.animals” of fish,,,,,,,
6-14-4-None-446-40-1,mussau,kotolu olimo namū,ko-tolu	olimo	namū,ATTRIB-3	canoe	big,three big canoes,,,,BrownieandBrownie2007[51],Brownie & Brownie 2007:51,a.,
6-14-4-None-446-40-2,ughele,ka made vineki meke ka rua koreo,ka	made	vineki	meke	ka	rua	koreo,ATTRIB	4	girls	and	ATTRIB	2	men,four girls and two men,,,,Frostad2012[59],Frostad 2012:59,b.,
6-14-4-None-446-40-3,kwamera,nimʷa kəru,nimʷa	kəru,house	2,two houses,,,,LindstromandLynch1994[16],Lindstrom & Lynch 1994:16,c.,
6-14-4-None-447-41-1,neverver,nivisbratn lele titidr iru,nivis-bratn	lele	titi-dr	i-ru,bow-real	small	P:3-PL	3REALIS:SG-two,two small bows of theirs,,,,Barbour2012[157],Barbour 2012:157,,
